🔥测试源,#genre#
青海卫视,http://110.177.144.14:9003/hls/40/index.m3u8
内蒙古卫视,http://110.177.144.14:9003/hls/38/index.m3u8
宁夏卫视,http://110.177.144.14:9003/hls/39/index.m3u8
河北卫视,http://110.177.144.14:9003/hls/29/index.m3u8
河南卫视,http://110.177.144.14:9003/hls/30/index.m3u8
广西卫视,http://110.177.144.14:9003/hls/27/index.m3u8
🔥其它源,#genre#

CCTV1,http://61.157.139.7:8888/hls/1/index.m3u8
CCTV2,http://61.157.139.7:8888/hls/2/index.m3u8
CCTV3,http://61.157.139.7:8888/hls/3/index.m3u8
CCTV4,http://61.157.139.7:8888/hls/4/index.m3u8
CCTV5,http://61.157.139.7:8888/hls/5/index.m3u8
CCTV5+,http://61.157.139.7:8888/hls/6/index.m3u8
CCTV6,http://61.157.139.7:8888/hls/7/index.m3u8
CCTV7,http://61.157.139.7:8888/hls/8/index.m3u8
CCTV8,http://61.157.139.7:8888/hls/9/index.m3u8
CCTV9,http://61.157.139.7:8888/hls/10/index.m3u8
CCTV10,http://61.157.139.7:8888/hls/11/index.m3u8
CCTV11,http://61.157.139.7:8888/hls/12/index.m3u8
CCTV12,http://61.157.139.7:8888/hls/13/index.m3u8
CCTV13,http://61.157.139.7:8888/hls/14/index.m3u8
CCTV14,http://61.157.139.7:8888/hls/15/index.m3u8
CCTV15,http://61.157.139.7:8888/hls/16/index.m3u8
CGTN,http://61.157.139.7:8888/hls/17/index.m3u8
安徽卫视,http://61.157.139.7:8888/hls/26/index.m3u8
北京卫视,http://61.157.139.7:8888/hls/27/index.m3u8
上海卫视,http://61.157.139.7:8888/hls/28/index.m3u8
浙江卫视,http://61.157.139.7:8888/hls/29/index.m3u8
广东卫视,http://61.157.139.7:8888/hls/30/index.m3u8
湖南卫视,http://61.157.139.7:8888/hls/31/index.m3u8
江苏卫视,http://61.157.139.7:8888/hls/32/index.m3u8
深圳卫视,http://61.157.139.7:8888/hls/33/index.m3u8
山东卫视,http://61.157.139.7:8888/hls/34/index.m3u8
四川卫视,http://61.157.139.7:8888/hls/35/index.m3u8
重庆卫视,http://61.157.139.7:8888/hls/36/index.m3u8
河南卫视,http://61.157.139.7:8888/hls/37/index.m3u8
东南卫视,http://61.157.139.7:8888/hls/38/index.m3u8
河北卫视,http://61.157.139.7:8888/hls/39/index.m3u8
云南卫视,http://61.157.139.7:8888/hls/40/index.m3u8
湖北卫视,http://61.157.139.7:8888/hls/41/index.m3u8
天津卫视,http://61.157.139.7:8888/hls/42/index.m3u8
陕西卫视,http://61.157.139.7:8888/hls/43/index.m3u8
江西卫视,http://61.157.139.7:8888/hls/44/index.m3u8
山西卫视,http://61.157.139.7:8888/hls/45/index.m3u8
贵州卫视,http://61.157.139.7:8888/hls/46/index.m3u8
辽宁卫视,http://61.157.139.7:8888/hls/47/index.m3u8
黑龙江卫视,http://61.157.139.7:8888/hls/48/index.m3u8
内蒙古卫视,http://61.157.139.7:8888/hls/49/index.m3u8
重温经典,http://61.157.139.7:8888/hls/50/index.m3u8
CCTV1,http://58.19.252.68:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
